"first_name","last_name","gender","age","length_service","absent_hours","distribution_centers_id","entry_age"
"Martin","Lisa","F",40.49192,1.223785,58.287704,3,39.268135
"Godfrey","Ramon","M",48.629925,5.5344315,110.81248,2,43.095493
"Jackson","Monica","F",52.186428,5.333357,158.6844,7,46.853073
"Craig","Cristina","F",37.91258,4.677506,73.476036,5,33.235073
"Schooley","Daniel","M",29.409472,4.853085,2.187242,8,24.556387
"Wireman","Jacquie","F",51.170223,4.9547873,99.80856,6,46.215435
"Tripp","Simone","F",39.464573,1.9142569,34.776268,5,37.550316
"Cousins","Jessica","F",26.679203,4.8502755,0,4,21.828928
"Drake","Mildred","F",46.54738,7.4079595,81.741104,10,39.13942
"Gilreath","Mary","F",39.237854,5.2887664,51.75806,2,33.94909
"Lundin","Edwina","F",49.029087,2.9927678,121.00742,5,46.03632
"Gleason","Esther","F",43.74006,16.587193,48.373096,3,27.152866
"Sharma","Donald","M",55.826355,2.0209455,137.45988,7,53.80541
"Hash","Yvonne","F",44.00105,4.0344286,98.55768,2,39.96662
"Harris","Arnold","M",29.66929,2.9206944,0,5,26.748596
"Massey","Christie","F",46.084404,4.834791,44.001858,6,41.24961
"Webber","Hobert","M",27.865993,4.519664,0,6,23.346329
"Edmondson","Cynthia","F",37.383175,4.934654,39.101723,9,32.44852
"Paschall","Marjorie","F",50.435898,5.505355,138.93304,1,44.930542
"Johnson","Dexter","M",46.586163,4.7430396,63.03008,5,41.843124
"Fox","Keith","M",50.28114,5.319611,98.32289,2,44.96153
"Kamen","Alan","M",39.04623,1.7335514,56.304333,7,37.31268
"Ogden","Nancy","F",37.49358,5.2724175,25.46793,2,32.22116
"Ervin","Patricia","F",47.51842,3.8136797,96.88372,1,43.704742
"Clark","Pauline","F",50.244614,3.4502344,118.4905,8,46.79438
"Andrews","Debra","F",40.329826,6.2773404,34.02042,6,34.052486
"Calderon","Sybil","F",36.92448,6.2834044,72.79408,3,30.641075
"Torres","Lee","M",33.17869,3.616228,0,7,29.562464
"Ward","James","M",32.759415,7.100917,0,3,25.658497
"Browning","Christiane","F",58.57573,6.54779,153.26323,1,52.02794
"Wurth","William","M",23.948397,5.1927543,0,3,18.755642
"Prescott","Wesley","M",43.203537,7.921398,53.84737,3,35.28214
"Dunham","Ligia","F",52.646385,4.990343,113.96178,9,47.656044
"Garrett","Steve","M",45.82459,3.3906755,79.10669,8,42.433914
"Alexander","Tyrone","M",35.537987,5.7645855,29.982311,9,29.773401
"Cheek","Mary","F",37.849773,1.976125,68.40403,8,35.87365
"Ackerman","Carrie","F",43.2858,21.122314,30.994,10,22.163486
"Johnson","Patricia","F",24.369465,3.7699587,0,2,20.599506
"Haley","Carey","M",45.925972,6.68016,40.059483,7,39.24581
"Hall","Maria","F",32.63627,3.1228049,49.65651,5,29.513464
"Bunch","Terra","F",39.388893,3.7319815,94.27737,6,35.65691
"Martin","Terry","M",35.698322,1.881003,58.09453,7,33.817318
"Bass","Brian","M",49.71959,4.2051916,62.16084,4,45.514397
"Wagner","Robert","M",54.67226,17.149136,30.458021,10,37.523125
"McBride","Joanne","F",44.00556,3.7293365,90.81179,3,40.276226
"Johnson","Paul","M",36.480087,18.480085,37.11571,10,18.000002
"Cook","Anthony","M",55.76305,11.44132,0,1,44.32173
"Loch","Dean","M",43.15637,5.1740665,63.18924,4,37.9823
"Defoor","James","M",56.559956,4.9273996,101.93475,3,51.632557
"Wadlington","Arthur","M",43.123165,2.480453,45.489925,6,40.64271
"Harte","Vanessa","F",50.353615,3.0061383,124.20253,4,47.347477
"Galindo","Zachary","M",49.47614,4.68762,56.923977,2,44.78852
"Reardon","Kenneth","M",39.73937,16.8497,0,6,22.889668
"Flores","Doris","F",44.10973,11.954267,111.77558,5,32.155464
"Busch","Alice","F",35.4939,13.707758,0,1,21.786142
"Phillips","Alfredo","M",61.440502,3.4397507,96.2607,2,58.00075
"Lopez","Christopher","M",47.877647,3.442262,58.15297,3,44.435387
"Fernandez","Emma","F",34.6622,5.689747,40.145725,10,28.972454
"Westling","Sharonda","F",37.85526,7.021624,92.2473,1,30.833635
"Pelletier","Ronald","M",57.89963,5.5868554,116.08216,4,52.312775
"Chacon","William","M",37.24006,2.759389,24.503904,10,34.48067
"Petty","Leland","M",37.97421,2.5199888,17.069721,5,35.45422
"Whitmire","Ernestine","F",40.49192,6.408469,90.16966,8,34.08345
"Rivers","Matthew","M",49.07043,6.1542883,46.52578,2,42.91614
"Meyers","Kim","F",55.9334,4.5075946,156.68866,2,51.425804
"Hebert","Sheree","F",27.381775,5.882383,14.385684,3,21.499392
"Jacques","Pearl","F",51.856964,2.8561473,113.25803,3,49.000816
"Valdez","Gabriela","F",61.397808,2.7719443,159.96822,9,58.625862
"Vidrine","Harold","M",66.0689,4.235105,223.77884,9,61.833797
"Carbone","Edith","F",43.74006,23.746002,0,2,19.994057
"Hernandez","Leonard","M",40.45052,3.839194,79.123634,2,36.611324
"Campbell","Frank","M",57.35064,6.032331,154.25772,5,51.31831
"Raley","Charlie","M",31.389181,4.0822906,0,3,27.30689
"Rayfield","Robert","M",35.80744,17.80744,0,7,18.000002
"Shea","Melinda","F",52.13254,6.5242705,88.45914,10,45.608273
"Coleman","David","M",30.551569,4.994952,0,4,25.556618
"Haynes","Patrick","M",54.55066,5.582833,95.49895,3,48.967827
"Bonilla","Frederick","M",49.859653,3.4158726,120.07972,5,46.44378
"Tobin","Sonia","F",43.2858,13.56324,0,8,29.72256
"Wood","Denise","F",30.040049,5.2873807,0,1,24.752668
"Guajardo","Cynthia","F",42.514057,0.69687307,82.897026,1,41.817184
"Marshall","Caroline","F",49.274937,5.0395427,121.36826,4,44.235394
"Ray","James","M",38.15801,3.9996758,34.201183,9,34.158333
"Baum","Stephanie","F",45.5594,14.410268,69.47821,1,31.149132
"Dubin","Joesph","M",44.0545,4.482615,56.195873,10,39.571884
"Giles","Sarah","F",43.53402,4.978326,61.494743,8,38.555695
"Layman","Angelica","F",42.636444,5.9827943,60.09047,1,36.65365
"Martin","Michaela","F",44.24522,0.8404806,66.3155,6,43.40474
"Williams","Michael","M",45.941242,3.8423338,71.5557,1,42.098907
"Hoyt","Arnold","M",37.998905,6.982081,33.943806,10,31.016825
"Belliveau","Tina","F",33.40343,3.9590628,46.92398,10,29.444368
"Hoffman","Marvin","M",40.342354,3.2047138,40.233,2,37.13764
"Slavin","Paul","M",37.808525,4.9471655,29.161703,2,32.86136
"Rosenfeld","Mary","F",42.317154,2.048208,44.156914,3,40.268948
"Bryan","Larry","M",45.01263,12.688114,47.51121,1,32.324516
"Hines","Oswaldo","M",34.280476,4.0440626,0,5,30.236412
"Finley","Anna","F",49.14973,1,121.785194,5,48.14973
"McCaffery","Francis","M",35.364925,5.028811,31.139088,3,30.336115
"Ditch","Diana","F",53.64586,5.138841,79.22102,7,48.50702
"Foster","Bonnie","F",43.934345,25.934345,38.55782,7,18
"Mitchell","Mary","F",19.191534,4.47319,0,1,14.718344
"Peterson","Brenda","F",46.683674,5.312089,44.74428,9,41.371586
"Stokley","George","M",44.6024,4.417705,93.42104,4,40.184696
"Hauser","Harold","M",48.768696,5.6962304,96.655945,10,43.072464
"Russell","James","M",50.764595,1.2659748,71.732666,1,49.49862
"Mott","Daniel","M",59.015488,3.2413738,109.24789,4,55.774113
"Fernandez","Michael","M",35.98657,4.453742,12.576576,10,31.532825
"Burton","Norman","M",51.395172,3.682661,34.07396,8,47.71251
"Forrest","Tamara","F",57.433147,5.8854156,154.81111,2,51.547733
"Britt","Robert","M",52.65102,5.29972,90.28761,9,47.3513
"Bennett","Jimmy","M",52.187405,3.9605808,113.066124,6,48.22682
"Watkins","Caitlin","F",51.77301,3.9086764,106.573006,8,47.864334
"Wann","Amy","F",35.116825,5.865363,12.103183,9,29.251461
"Roberson","Dennis","M",52.998936,4.219663,84.32385,8,48.779274
"Moore","Francis","M",43.730022,5.1680284,66.34602,3,38.561993
"Johnson","Philip","M",40.93857,5.4881077,0,7,35.450462
"Parker","Karen","F",18.959833,3.8207128,0,9,15.13912
"Skipper","Maria","F",57.87456,19.248894,72.924194,8,38.625668
"Klein","Jennifer","F",53.312965,35.312965,0,2,18
"Vaughn","Robert","M",32.50308,4.6643305,0,9,27.838749
"Anthony","Juan","M",36.381844,4.953196,33.528797,3,31.428648
"Lavalley","Glen","M",44.84728,5.1703806,61.731705,10,39.6769
"Bryant","Minerva","F",12.684322,3.032073,0,5,9.652249
"Elmore","Alfred","M",54.43216,4.2432284,111.05457,4,50.18893
"Johnson","Billy","M",60.37305,2.251922,174.68452,9,58.121128
"Ceaser","Mary","F",37.098385,19.098383,46.77119,4,18.000002
"Collier","Steven","M",44.93259,11.374388,41.624916,10,33.558205
"Aaron","Michael","M",43.91164,5.5025635,95.4168,8,38.409077
"Moultrie","Kevin","M",45.457836,4.5941935,22.491325,10,40.863644
"Witt","Melissa","F",37.496574,6.2708416,59.387943,7,31.225733
"Duvall","Gina","F",49.67844,12.688541,57.22787,4,36.9899
"Willard","Jeffrey","M",42.789665,2.48344,45.139336,3,40.306225
"Jacobs","Thomas","M",34.808018,6.462199,50.5186,9,28.345818
"Lopes","Larry","M",44.716396,4.551809,62.154823,8,40.16459
"Wolfram","Betty","F",39.935364,6.609689,16.05553,10,33.325676
"Dunn","Heather","F",47.50043,2.363185,85.37866,9,45.137245
"Kroon","Brent","M",44.185802,26.185802,0,2,18
"Finke","Michael","M",41.604504,4.004897,39.675472,10,37.599606
"Hulett","Florence","F",44.22969,5.520122,57.18578,1,38.709568
"Ponce","Melanie","F",37.299118,6.880357,38.100792,7,30.418762
"Ellis","Jeri","F",42.46407,3.7290816,118.58608,2,38.73499
"Cox","Conrad","M",39.31457,14.613758,28.897001,2,24.700813
"Smith","Raymond","M",43.355904,5.9552073,73.39636,3,37.400696
"Banks","Ryan","M",48.48462,4.929204,86.86242,6,43.555416
"Kendall","Bernadette","F",45.288807,6.2679796,106.7733,7,39.02083
"Fernandez","Brian","M",34.54453,6.3406963,0,10,28.203833
"Labrie","Vicky","F",51.786537,5.2059426,107.83436,6,46.580593
"Ash","Christopher","M",43.466965,2.826842,10.684735,7,40.64012
"Salisbury","Susan","F",37.71198,2.2183883,31.995646,9,35.49359
"Healy","Ann","F",51.03146,7.100793,131.02348,3,43.930668
"Blake","Edward","M",54.492847,5.6406293,123.562965,5,48.85222
"Vega","Yoshiko","F",28.917248,2.244451,21.03905,1,26.672796
"Hamlin","Francis","F",55.7089,5.225591,173.83719,3,50.48331
"Adams","Andre","M",43.190643,8.109839,20.93705,3,35.080803
"Carruth","Mary","F",38.1072,2.9059155,47.542046,9,35.201286
"Turner","Robert","M",37.74239,5.3886194,30.815527,9,32.35377
"Norris","Kristin","F",36.48949,7.1442285,27.601267,2,29.345263
"Wiley","Mary","F",54.750645,5.919601,152.1245,7,48.831043
"Francis","Jocelyn","F",44.77485,4.7787514,39.576794,10,39.996098
"Goff","Phillip","M",56.11145,6.90471,174.86473,1,49.20674
"Reese","Amanda","F",34.114918,1.6208171,4.0064864,10,32.494102
"Keating","David","M",35.972282,3.5796633,65.57723,4,32.39262
"McLaren","Francis","M",31.478567,3.6756213,0,3,27.802946
"Colucci","Evelyn","F",35.725834,4.1552434,44.500484,9,31.570591
"Wilson","Beverly","F",30.610409,5.348732,0,8,25.261677
"Thomas","Ramon","M",44.57034,4.188335,91.35291,10,40.382004
"Barnard","Georgia","F",38.196266,6.728008,59.95757,7,31.468258
"Perez","Erin","F",38.316402,5.0059295,28.538027,9,33.310474
"Lindo","Susan","F",54.600357,3.4149923,112.607155,4,51.185364
"Furman","David","M",52.623386,5.328184,84.60913,3,47.295204
"Neill","Kelly","M",32.627567,5.880797,20.52609,7,26.74677
"Hilyard","Brian","M",29.374092,4.395205,0,5,24.978888
"Harder","Gary","M",36.147793,3.136688,26.701372,8,33.011105
"Goode","Todd","M",46.19207,3.9594493,28.784164,5,42.23262
"Dunn","Barbara","F",32.16838,5.768872,40.49575,2,26.39951
"Leblanc","Louis","M",39.948193,3.6414433,49.905483,10,36.306747
"Geist","Gregory","M",44.770638,5.473203,71.622406,8,39.297436
"McCann","Hazel","F",40.235645,7.9693604,22.726007,7,32.266285
"Logan","James","M",47.78647,5.4091253,20.112265,6,42.377342
"Salinas","Ernest","M",21.960855,2.8153703,0,2,19.145485
"Sherman","Viola","F",49.23855,5.3423038,75.60493,1,43.896244
"Santo","Hubert","M",38.481804,3.9832633,3.0266435,4,34.49854
"Knotts","James","M",37.731247,3.2911966,18.767984,4,34.440052
"Gaddy","Tracy","M",57.08813,5.4227457,122.66048,1,51.665386
"Holloway","Louisa","F",34.28082,5.7210097,28.398117,3,28.559809
"Fralick","Thelma","F",29.303701,3.328287,36.260952,1,25.975414
"Lamm","Breanna","F",53.9728,4.7252703,73.9432,7,49.24753
"Gregor","William","M",55.751022,5.605691,85.8566,10,50.145332
"Galligan","Gloria","F",49.485165,4.274813,74.280876,10,45.21035
"Wilson","Frank","M",45.95132,5.4537725,104.02838,4,40.497547
"Tice","Andre","M",36.411034,2.754126,0,8,33.656906
"Weaver","Phillip","M",40.217373,5.309408,36.857597,4,34.907967
"Marshall","Gwendolyn","F",43.054325,4.8705816,38.290512,8,38.183743
"Braud","Alfonso","M",38.38907,4.968578,28.63001,1,33.42049
"Kelleher","Latonya","F",45.08978,6.959476,75.081406,6,38.130302
"Gorski","Henrietta","F",58.951935,5.312972,146.00339,2,53.63896
"Murray","Jennifer","F",29.634901,7.8472834,46.67651,3,21.787617
"Neill","Harry","M",64.18628,4.6134963,198.60579,3,59.572784
"Gelinas","Michael","M",37.25898,3.6241093,0,10,33.634872
"Hansen","Earl","M",48.199524,5.88276,76.716324,10,42.316765
"Russo","Lisa","F",11.778315,4.8737197,0,4,6.904595
"Higginbotham","John","M",31.121613,6.690683,0,2,24.43093
"Hollen","Joseph","M",48.208565,7.087452,101.18764,1,41.121113
"Utter","Charles","M",46.02263,4.177042,102.81058,3,41.84559
"Crafton","Nancy","F",35.54491,3.3984175,95.89296,5,32.146492
"Curtis","Freida","F",53.03555,2.6868317,139.69203,3,50.348717
"Ashley","Bernice","F",47.7427,4.316502,68.540016,5,43.426197
"Neal","Amanda","F",28.26401,3.794655,0,4,24.469355
"Courtois","Dennis","M",47.06342,4.9594064,44.491024,10,42.10401
"Mobley","Willie","M",41.253082,4.3107557,0,4,36.942326
"Noriega","Mary","F",43.172256,3.4139514,68.66697,2,39.758305
"Moore","William","M",49.81724,26.083187,57.206543,6,23.734055
"Barrientez","Xavier","M",38.656128,4.986305,0,10,33.669823
"Ingram","Kenneth","M",55.950542,6.078621,83.1839,6,49.87192
"Ober","Steven","M",30.945618,3.8350346,0,9,27.110582
"Hull","Craig","M",46.113132,5.623582,35.370728,1,40.48955
"Davis","Lori","F",52.68017,5.079882,60.252502,5,47.600285
"Sands","Diane","F",55.76493,15.906366,0,5,39.858566
"Watts","Ismael","M",45.916004,3.9752893,65.69786,7,41.940716
"Lynch","Raymond","M",47.05986,5.6916027,86.276054,1,41.368256
"Gerard","Kenneth","M",46.100346,4.4446797,75.85883,3,41.655666
"Daniel","Jennifer","F",55.01031,32.35061,113.90216,1,22.659702
"Guzman","Sharon","F",38.848415,1.9745898,40.505005,7,36.873825
"Carbaugh","Monica","F",63.64067,2.0648086,206.87137,4,61.575863
"Espinoza","Steven","M",46.4005,3.7891111,35.570217,3,42.61139
"Mills","Tiffany","F",53.4876,9.940766,42.152386,8,43.546833
"Chamness","Richard","M",45.80874,3.814751,107.70543,8,41.993988
"Bricker","Jacqueline","F",38.193592,4.4894814,71.135124,7,33.70411
"Yokoyama","Jorge","M",61.033726,2.4297028,181.06061,9,58.604023
"Jackson","Justin","M",49.65137,21.960999,21.17797,6,27.690372
"Gomez","Irene","F",39.23264,13.412318,0,10,25.82032
"Cromer","Arthur","M",27.197332,3.3006167,0,10,23.896715
"Davis","Michael","M",49.73708,31.73708,0,4,18
"Snowden","Linda","F",54.78184,17.754217,72.29939,3,37.027626
"Helton","Mary","F",49.356422,3.4025567,90.5893,5,45.953865
"Shockley","Franklin","M",37.642796,6.1965623,13.952368,2,31.446234
"Johnstone","Armand","M",37.922924,7.783429,43.266582,2,30.139496
"Linder","Janice","F",13.917017,3.4719684,0,7,10.445048
"Gonzalez","Rodney","M",46.474445,6.767435,44.96932,8,39.70701
"Stalder","Lawrence","M",42.26699,5.240079,39.065712,8,37.026913
"Price","Daisy","F",49.70256,3.9076164,127.15185,2,45.794945
"Olson","Ronald","M",60.013287,6.856206,125.87631,2,53.15708
"Collins","Timothy","M",41.208076,6.9548326,58.954197,5,34.253242
"Clay","William","M",53.778347,3.574201,129.27039,3,50.204147
"Davis","Paul","M",51.55788,4.2489767,90.27111,6,47.308903
"Snow","Darwin","M",49.331017,4.2487364,73.93095,10,45.08228
"Giuliani","Philip","M",40.68596,4.326906,7.234943,6,36.359055
"Kwan","Mary","F",52.38056,0.9370853,145.88278,5,51.443478
"Moody","Bebe","F",34.470783,4.3922343,23.06389,5,30.078548
"Burg","Eleanor","F",48.14741,4.4593935,50.692253,5,43.68802
"Zamora","Frances","F",42.045395,3.5510566,87.1031,6,38.49434
"Campbell","Jeremiah","M",48.322334,7.20969,79.00598,1,41.112644
"Alvarado","Anabel","F",46.85967,7.3055887,92.24606,7,39.55408
"Hughes","Margaret","F",65.03202,3.6901631,207.35515,1,61.341858
"Collins","Grace","F",40.43093,2.9573276,57.785133,2,37.473602
"Cunningham","Lisa","F",44.70053,3.4673672,57.47131,3,41.233162
"Corcoran","Cassandra","F",48.73562,5.4341216,75.48602,4,43.3015
"Stier","Amy","F",24.775269,3.9242885,0,7,20.85098
"Horton","Samuel","M",28.824678,4.31325,18.743475,6,24.511429
"Jones","Jorge","M",40.099506,22.099508,120.380165,6,17.999998
"Davenport","Leonard","M",54.422943,36.422943,0,3,18
"Mullen","David","M",57.83862,6.323964,127.144394,1,51.514656
"Dobbs","Samuel","M",46.263184,2.8222675,55.344845,1,43.440918
"Mendez","Linda","F",61.735237,43.735237,0,5,18
"Hedges","Edward","M",41.344666,2.9732385,59.28582,10,38.371426
"Feldman","Troy","M",47.775425,5.372207,105.1862,7,42.403217
"Booth","Blanca","F",54.047184,5.7876267,120.29431,9,48.259556
"Cummings","Lance","M",46.346363,6.0577936,96.19214,8,40.28857
"Bober","Colleen","F",50.9435,3.828199,146.04475,8,47.115303
"Shaffer","Justin","M",49.77501,5.617105,66.93209,8,44.157906
"Reyes","Lauren","F",62.96501,24.185417,75.94726,6,38.779594
"Calles","Mary","F",45.601547,3.4218626,105.22583,1,42.179684
"Rowen","Todd","M",47.269516,4.26601,65.20146,2,43.003506
"Meadows","Carlos","M",32.81372,2.5888486,0,8,30.224873
"Hurlburt","Robert","M",54.643276,7.579732,115.60271,9,47.063545
"Castillo","Angela","F",34.647186,7.4587517,0,5,27.188435
"Noriega","Diane","F",37.872974,7.155709,0,2,30.717266
"Honaker","George","M",47.118755,4.301489,112.20356,9,42.81727
"Westman","Stacy","M",19.51296,2.5633235,0,4,16.949636
"Kuntz","Daniel","M",38.662838,6.451448,57.945488,10,32.21139
"Alonzo","Janette","F",43.14466,23.478443,63.216003,2,19.666218
"Walker","Yvette","F",48.733143,4.425093,73.92678,1,44.30805
"Garcia","Maria","F",43.288425,6.207172,33.076797,10,37.081253
"Myers","Patrick","M",43.90487,2.7193325,96.66844,6,41.185535
"Martinez","Esther","F",31.310402,3.787034,23.746443,5,27.523369
"Norman","Willie","M",45.56823,5.8339243,71.23074,10,39.734306
"March","Joseph","M",58.13304,7.806945,95.95337,1,50.326096
"Hays","Danny","M",54.779858,5.1127176,125.86044,7,49.66714
"Patterson","Ryan","M",57.87101,5.6744113,114.41362,5,52.196598
"Joyce","Steve","M",48.698647,5.4311433,43.805202,6,43.2675
"Greenberg","Tami","F",38.895744,2.6769686,55.55238,10,36.218777
"Wood","Roland","M",47.66838,4.621011,68.91,5,43.04737
"Staub","Carrie","F",26.768051,6.627177,0,5,20.140875
"Crisp","Salvador","M",23.177559,6.475522,11.066625,7,16.702038
"Drayton","Megan","F",47.29635,4.629905,125.883995,8,42.666443
"Morris","Francisco","M",38.693398,6.293849,19.459139,4,32.399548
"Stanko","Rose","F",35.79056,5.1778255,0,1,30.612736
"Pollard","Katie","F",42.947796,5.759253,75.39661,10,37.18854
"Lietz","Katrina","F",41.274765,6.571549,94.28296,8,34.703217
"Carpentier","William","M",53.72168,12.259574,0,1,41.462105
"Johnson","Jennifer","F",63.6606,3.567056,110.1393,4,60.093544
"McCloud","Michael","M",45.504826,6.1922708,123.09831,9,39.312553
"Martin","Jose","M",42.48329,4.1410594,87.32819,8,38.34223
"Navarrete","Leonard","M",24.643116,4.2082214,0,3,20.434895
"Buendia","Georgia","F",59.410458,5.418941,115.042915,2,53.991516
"Cook","Joseph","M",16.509754,5.659407,0,8,10.8503475
"Winship","Linda","F",53.6819,4.2620254,159.18925,7,49.419876
"Velez","Lori","F",50.290672,3.194487,128.51984,9,47.096184
"Paxson","James","M",47.311626,5.50084,67.24244,8,41.810787
"Foster","Robert","M",28.454885,4.540982,0,7,23.913904
"Acevedo","Earl","M",41.00684,20.690126,0,9,20.316713
"Oneal","Nancy","F",54.173443,3.6545548,112.41768,8,50.518887
"Hunter","Margaret","F",38.68351,4.625219,14.807227,2,34.058292
"Miranda","Sonya","F",37.399418,5.3851366,19.82535,6,32.014282
"Hernandez","Walter","M",56.57166,10.702093,0,1,45.869568
"Russell","Linda","F",24.03801,6.03801,0,8,18
"Howard","Ruby","F",57.482452,4.9961724,188.806,2,52.48628
